id,index,name,variant,filename,audio_path,mood_group,color,bpm,key,energy,duration,family,tags
055_Anchored_A,055,Anchored,A,055_Anchored.m4a,/assets/media/audio/055_Anchored.m4a,,,,,,,,
056_Anchored_B,056,Anchored,B,056_Anchored.m4a,/assets/media/audio/056_Anchored.m4a,,,,,,,,
057_Unflappable_A,057,Unflappable,A,057_Unflappable.m4a,/assets/media/audio/057_Unflappable.m4a,,,,,,,,
058_Unflappable_B,058,Unflappable,B,058_Unflappable.m4a,/assets/media/audio/058_Unflappable.m4a,,,,,,,,
059_Precise_A,059,Precise,A,059_Precise.m4a,/assets/media/audio/059_Precise.m4a,,,,,,,,
060_Precise_B,060,Precise,B,060_Precise.m4a,/assets/media/audio/060_Precise.m4a,,,,,,,,
061_Assured_A,061,Assured,A,061_Assured.m4a,/assets/media/audio/061_Assured.m4a,,,,,,,,
062_Assured_B,062,Assured,B,062_Assured.m4a,/assets/media/audio/062_Assured.m4a,,,,,,,,
063_Harmonious_A,063,Harmonious,A,063_Harmonious.m4a,/assets/media/audio/063_Harmonious.m4a,,,,,,,,
064_Harmonious_B,064,Harmonious,B,064_Harmonious.m4a,/assets/media/audio/064_Harmonious.m4a,,,,,,,,
065_Sheltered_A,065,Sheltered,A,065_Sheltered.m4a,/assets/media/audio/065_Sheltered.m4a,,,,,,,,
066_Sheltered_B,066,Sheltered,B,066_Sheltered.m4a,/assets/media/audio/066_Sheltered.m4a,,,,,,,,
067_Trusting_A,067,Trusting,A,067_Trusting.m4a,/assets/media/audio/067_Trusting.m4a,,,,,,,,
068_Trusting_B,068,Trusting,B,068_Trusting.m4a,/assets/media/audio/068_Trusting.m4a,,,,,,,,
069_Connected_A,069,Connected,A,069_Connected.m4a,/assets/media/audio/069_Connected.m4a,,,,,,,,
070_Connected_B,070,Connected,B,070_Connected.m4a,/assets/media/audio/070_Connected.m4a,,,,,,,,
071_Balanced_A,071,Balanced,A,071_Balanced.m4a,/assets/media/audio/071_Balanced.m4a,,,,,,,,
072_Balanced_B,072,Balanced,B,072_Balanced.m4a,/assets/media/audio/072_Balanced.m4a,,,,,,,,
073_Serene_A,073,Serene,A,073_Serene.m4a,/assets/media/audio/073_Serene.m4a,,,,,,,,
074_Serene_B,074,Serene,B,074_Serene.m4a,/assets/media/audio/074_Serene.m4a,,,,,,,,
075_Soothing_A,075,Soothing,A,075_Soothing.m4a,/assets/media/audio/075_Soothing.m4a,,,,,,,,
076_Soothing_B,076,Soothing,B,076_Soothing.m4a,/assets/media/audio/076_Soothing.m4a,,,,,,,,
077_Peaceful_A,077,Peaceful,A,077_Peaceful.m4a,/assets/media/audio/077_Peaceful.m4a,,,,,,,,
078_Peaceful_B,078,Peaceful,B,078_Peaceful.m4a,/assets/media/audio/078_Peaceful.m4a,,,,,,,,
079_Reassured_A,079,Reassured,A,079_Reassured.m4a,/assets/media/audio/079_Reassured.m4a,,,,,,,,
080_Reassured_B,080,Reassured,B,080_Reassured.m4a,/assets/media/audio/080_Reassured.m4a,,,,,,,,
081_Cozy_A,081,Cozy,A,081_Cozy.m4a,/assets/media/audio/081_Cozy.m4a,,,,,,,,
082_Cozy_B,082,Cozy,B,082_Cozy.m4a,/assets/media/audio/082_Cozy.m4a,,,,,,,,
083_Nurturing_A,083,Nurturing,A,083_Nurturing.m4a,/assets/media/audio/083_Nurturing.m4a,,,,,,,,
